#SampleID,SeedType,Treatment,ColonyCode,ColonySize,ColonyLocation,HandlingScore
WGA2_S124_L001,WildGinger,Ant,DW10,36,DeansWoods,5
WGA3_S125_L001,WildGinger,Ant,DW1,167,DeansWoods,5
WGA4_S126_L001,WildGinger,Ant,DW5,55,DeansWoods,1
WGA5_S127_L001,WildGinger,Ant,DW4,26,DeansWoods,2
WGA6_S128_L001,WildGinger,Ant,DW9,376,DeansWoods,5
WGA7_S129_L001,WildGinger,Ant,DW8,47,DeansWoods,5
WGA8_S130_L001,WildGinger,Ant,DW12,53,DeansWoods,5
WGA9_S131_L001,WildGinger,Ant,DW7,280,DeansWoods,5
WGA10_S132_L001,WildGinger,Ant,DW6,216,DeansWoods,5
WGA11_S133_L001,WildGinger,Ant,DW11,158,DeansWoods,5
WGA12_S134_L001,WildGinger,Ant,DW2,456,DeansWoods,5
WGA13_S140_L001,WildGinger,Ant,U7,7,Unknown,2
WGA14_S141_L001,WildGinger,Ant,U3,24,Unknown,5
WGA15_S142_L001,WildGinger,Ant,U5,7,Unknown,4
WGA16_S143_L001,WildGinger,Ant,DW2018,16,DeansWoods,4
WGC1_S72_L001,WildGinger,Control,,,,
WGC2_S71_L001,WildGinger,Control,,,,
WGC3_S70_L001,WildGinger,Control,,,,
WGC4_S69_L001,WildGinger,Control,,,,
WGC5_S68_L001,WildGinger,Control,,,,
WGC6_S67_L001,WildGinger,Control,,,,
WGC7_S66_L001,WildGinger,Control,,,,
WGC8_S65_L001,WildGinger,Control,,,,
WGC9_S64_L001,WildGinger,Control,,,,
WGC10_S63_L001,WildGinger,Control,,,,
WGC11_S62_L001,WildGinger,Control,,,,
WGC12_S61_L001,WildGinger,Control,,,,
WGC13_S60_L001,WildGinger,Control,,,,
WGC14_S59_L001,WildGinger,Control,,,,
WGC15_S58_L001,WildGinger,Control,,,,
WGC16_S57_L001,WildGinger,Control,,,,
WGCE1_S3_L001,WildGinger,ControlNoElaiosome,,,,
WGCE2_S10_L001,WildGinger,ControlNoElaiosome,,,,
WGCE3_S21_L001,WildGinger,ControlNoElaiosome,,,,
WGCE4_S2_L001,WildGinger,ControlNoElaiosome,,,,
WGCE5_S22_L001,WildGinger,ControlNoElaiosome,,,,
WGCE6_S31_L001,WildGinger,ControlNoElaiosome,,,,
WGCE7_S36_L001,WildGinger,ControlNoElaiosome,,,,
WGCE8_S32_L001,WildGinger,ControlNoElaiosome,,,,
WGCE9_S29_L001,WildGinger,ControlNoElaiosome,,,,
WGCE10_S33_L001,WildGinger,ControlNoElaiosome,,,,
WGCE11_S16_L001,WildGinger,ControlNoElaiosome,,,,
WGCE12_S4_L001,WildGinger,ControlNoElaiosome,,,,
WGCE13_S9_L001,WildGinger,ControlNoElaiosome,,,,
WGCE14_S34_L001,WildGinger,ControlNoElaiosome,,,,
WGCE15_S30_L001,WildGinger,ControlNoElaiosome,,,,
WGCE16_S35_L001,WildGinger,ControlNoElaiosome,,,,
Undetermined_S0_L001,,,,,,
